Time, Main Type, Sub Type, Param, User, IP, Detail
2/23/2022 11:11, Smart, Cross L1 B->A, -, -, -, -
2/23/2022 11:11, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:10, Operation, RTSP Session Stop, -, admin, 172.16.0.61, HTTP
2/23/2022 11:10, Event, Motion Detection Stop, -, -, -, -
2/23/2022 11:10, Smart, Cross L1 A->B, -, -, -, -
2/23/2022 11:10, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:10, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:10, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:10, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:10, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:10, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:10, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:10, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:10, Event, Motion Detection Stop, -, -, -, -
2/23/2022 11:09, Smart, Cross L1 B->A, -, -, -, -
2/23/2022 11:09, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:09, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:09, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:09, Event, Motion Detection Stop, -, -, -, -
2/23/2022 11:09, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:08, Event, Motion Detection Stop, -, -, -, -
2/23/2022 11:08, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:07, Event, Motion Detection Stop, -, -, -, -
2/23/2022 11:07, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:07, Event, Motion Detection Stop, -, -, -, -
2/23/2022 11:07, Smart, Cross L1 A->B, -, -, -, -
2/23/2022 11:06, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:06, Event, Motion Detection Stop, -, -, -, -
2/23/2022 11:06, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:06, Event, Motion Detection Stop, -, -, -, -
2/23/2022 11:06, Smart, Cross L1 B->A, -, -, -, -
2/23/2022 11:06, Event, Motion Detection Start, -, -, -, -
2/23/2022 11:06, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:06, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:06, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, PTZ Control Remote, -, admin, 172.16.0.61, -
2/23/2022 11:05, Operation, RTSP Session Start, -, admin, 172.16.0.61, HTTP
2/23/2022 11:03, Information, System Restart, -, -, -, -
2/23/2022 11:03, Information, IR-CUT Off, -, -, -, -
2/23/2022 10:06, Information, System Restart, -, -, -, -
2/23/2022 10:06, Information, IR-CUT Off, -, -, -, -
